si-Ctrl-1	si-Ctrl-2	si-eIF5A-1	si-eIF5A-2
YDR392W_mRNA	YBR196C_mRNA	YHR159W_mRNA	YJL011C_mRNA
YBR156C_mRNA	YPR079W_mRNA	YJL066C_mRNA	YGR168C_mRNA
YBR196C_mRNA	YNL327W_mRNA	YBL041W_mRNA	YKL060C_mRNA
YPR079W_mRNA	YNL064C_mRNA	YIL006W_mRNA	YBL072C_mRNA
YNL327W_mRNA	YPL252C_mRNA	YMR023C_mRNA	YHR159W_mRNA
YNL064C_mRNA	YMR153W_mRNA	YHR038W_mRNA	YJL066C_mRNA
YPL252C_mRNA	YNL310C_mRNA	YNL031C_mRNA	YBL041W_mRNA
YMR153W_mRNA	YJL137C_mRNA	YDR129C_mRNA	YIL006W_mRNA
YNL310C_mRNA	YKL165C_mRNA	YGL245W_mRNA	YMR023C_mRNA
YJL137C_mRNA	YDR286C_mRNA	YOR154W_mRNA	YHR038W_mRNA
YKL165C_mRNA	YMR148W_mRNA	YER050C_mRNA	YNL031C_mRNA
YDR286C_mRNA	YDR306C_mRNA	YOL140W_mRNA	YOR373W_mRNA
YMR148W_mRNA	YGL128C_mRNA	YPR073C_mRNA	YGL245W_mRNA
YDR306C_mRNA	YHR005C_mRNA	YLR438W_mRNA	YDR129C_mRNA
YGL128C_mRNA	YMR223W_mRNA	YDR392W_mRNA	YOR154W_mRNA
YHR005C_mRNA	YMR244C-A_mRNA	YBR156C_mRNA	YER050C_mRNA
YMR223W_mRNA	YPR167C_mRNA	YBR196C_mRNA	YOL140W_mRNA
YMR244C-A_mRNA	YBR133C_mRNA	YPR079W_mRNA	YPR073C_mRNA
YPR167C_mRNA	YNL021W_mRNA	YPL148C_mRNA	YLR438W_mRNA
YBR133C_mRNA	YAR042W_mRNA	YNL327W_mRNA	YDR392W_mRNA
YNL021W_mRNA	YKR002W_mRNA	YNL064C_mRNA	YBR156C_mRNA
YAR042W_mRNA	YBL002W_mRNA	YPL252C_mRNA	YBR196C_mRNA
YKR002W_mRNA	YER086W_mRNA	YMR153W_mRNA	YPR079W_mRNA
YBL002W_mRNA	YDR026C_mRNA	YNL310C_mRNA	YPL148C_mRNA
YER086W_mRNA	YOR361C_mRNA	YJL137C_mRNA	YNL327W_mRNA
YDR026C_mRNA	YBL013W_mRNA	YKL165C_mRNA	YNL064C_mRNA
YOR361C_mRNA	YIL114C_mRNA	YDR286C_mRNA	YPL252C_mRNA
YBL013W_mRNA	YMR170C_mRNA	YMR148W_mRNA	YMR153W_mRNA
YIL114C_mRNA	YEL016C_mRNA	YDR306C_mRNA	YNL310C_mRNA
YMR170C_mRNA	YDL207W_mRNA	YGL128C_mRNA	YJL137C_mRNA
YEL016C_mRNA	YMR276W_mRNA	YLR152C_mRNA	YKL165C_mRNA
YDL207W_mRNA	YDR260C_mRNA	YHR005C_mRNA	YDR286C_mRNA
YMR276W_mRNA	YDL080C_mRNA	YMR223W_mRNA	YMR148W_mRNA
YDR260C_mRNA	YKL047W_mRNA	YMR244C-A_mRNA	YDR306C_mRNA
YDL080C_mRNA	YGR089W_mRNA	YPR167C_mRNA	YGL128C_mRNA
YKL047W_mRNA	YHR016C_mRNA	YGL085W_mRNA	YLR152C_mRNA
YGR089W_mRNA	YDR145W_mRNA	YBR133C_mRNA	YHR005C_mRNA
YHR016C_mRNA	YDL166C_mRNA	YNL021W_mRNA	YMR223W_mRNA
YDR145W_mRNA	YOR162C_mRNA	YAR042W_mRNA	YMR244C-A_mRNA
YDL166C_mRNA	YPL101W_mRNA	YKR002W_mRNA	YPR167C_mRNA
YOR162C_mRNA	YFR006W_mRNA	YMR096W_mRNA	YGL085W_mRNA
YPL101W_mRNA	YNR012W_mRNA	YBL002W_mRNA	YBR133C_mRNA
YFR006W_mRNA	YDR164C_mRNA	YER086W_mRNA	YNL021W_mRNA
YNR012W_mRNA	YLR121C_mRNA	YDR026C_mRNA	YAR042W_mRNA
YDR164C_mRNA	YNL189W_mRNA	YOR361C_mRNA	YKR002W_mRNA
YLR121C_mRNA	YGR124W_mRNA	YBL013W_mRNA	YMR096W_mRNA
YNL189W_mRNA	YLR376C_mRNA	YIL114C_mRNA	YBL002W_mRNA
YGR124W_mRNA	YDL028C_mRNA	YMR170C_mRNA	YER086W_mRNA
YLR376C_mRNA	YIR011C_mRNA	YEL016C_mRNA	YDR026C_mRNA
YOR010C_mRNA	YLL018C_mRNA	YDL207W_mRNA	YOR361C_mRNA
YDL028C_mRNA	YOR160W_mRNA	YMR276W_mRNA	YBL013W_mRNA
YIR011C_mRNA	YNL001W_mRNA	YDR260C_mRNA	YIL114C_mRNA
YLL018C_mRNA	YOR368W_mRNA	YDL080C_mRNA	YMR170C_mRNA
YOR160W_mRNA	YIL034C_mRNA	YKL047W_mRNA	YEL016C_mRNA
YNL001W_mRNA	YKL110C_mRNA	YHR016C_mRNA	YDL207W_mRNA
YIL034C_mRNA	YJR001W_mRNA	YDR145W_mRNA	YMR276W_mRNA
YKL110C_mRNA	YBR082C_mRNA	YDL166C_mRNA	YDR260C_mRNA
YJR001W_mRNA	YLR404W_mRNA	YOR162C_mRNA	YDL080C_mRNA
YBR082C_mRNA	YGR137W_mRNA	YPL101W_mRNA	YKL047W_mRNA
YLR404W_mRNA	YGL157W_mRNA	YFR006W_mRNA	YHR016C_mRNA
YGR137W_mRNA	YDR109C_mRNA	YNR012W_mRNA	YDR145W_mRNA
YGL157W_mRNA	YDR190C_mRNA	YDR164C_mRNA	YDL166C_mRNA
YDR109C_mRNA	YCR097W_mRNA	YLR121C_mRNA	YOR162C_mRNA
YDR190C_mRNA	YMR157C_mRNA	YNL189W_mRNA	YPL101W_mRNA
YCR097W_mRNA	YGR004W_mRNA	YGR124W_mRNA	YFR006W_mRNA
YMR157C_mRNA	YNL221C_mRNA	YLR368W_mRNA	YNR012W_mRNA
YGR004W_mRNA	YDL140C_mRNA	YLR376C_mRNA	YDR164C_mRNA
YNL221C_mRNA	YER034W_mRNA	YDL028C_mRNA	YLR121C_mRNA
YDL140C_mRNA	YLR146C_mRNA	YIR011C_mRNA	YNL189W_mRNA
YER034W_mRNA	YOL110W_mRNA	YLL018C_mRNA	YGR124W_mRNA
YLR146C_mRNA	YOR253W_mRNA	YOR160W_mRNA	YLR368W_mRNA
YOL110W_mRNA	YGL252C_mRNA	YNL001W_mRNA	YLR376C_mRNA
YLL053C_mRNA	YCL031C_mRNA	YIL034C_mRNA	YDL028C_mRNA
YOR253W_mRNA	YJR055W_mRNA	YKL110C_mRNA	YIR011C_mRNA
YGL252C_mRNA	YJL026W_mRNA	YJR001W_mRNA	YLL018C_mRNA
YCL031C_mRNA	YPL067C_mRNA	YBR082C_mRNA	YOR160W_mRNA
YJR055W_mRNA	YBL021C_mRNA	YLR404W_mRNA	YNL001W_mRNA
YJL026W_mRNA	YNL112W_mRNA	YGR137W_mRNA	YIL034C_mRNA
YPL067C_mRNA	YBL091C-A_mRNA	YGL157W_mRNA	YKL110C_mRNA
YBL021C_mRNA	YER130C_mRNA	YDR109C_mRNA	YJR001W_mRNA
YNL112W_mRNA	YOR130C_mRNA	YDR190C_mRNA	YBR082C_mRNA
YBL091C-A_mRNA	YPR068C_mRNA	YCR097W_mRNA	YLR404W_mRNA
YER130C_mRNA	YBR229C_mRNA	YMR157C_mRNA	YGR137W_mRNA
YOR130C_mRNA	YBR198C_mRNA	YGR004W_mRNA	YGL157W_mRNA
YPR068C_mRNA	YKL028W_mRNA	YNL221C_mRNA	YDR109C_mRNA
YBR229C_mRNA	YGL133W_mRNA	YDL140C_mRNA	YDR190C_mRNA
YBR198C_mRNA	YPL219W_mRNA	YER034W_mRNA	YCR097W_mRNA
YKL028W_mRNA	YJL207C_mRNA	YLR146C_mRNA	YMR157C_mRNA
YGL133W_mRNA	YIR026C_mRNA	YOL110W_mRNA	YGR004W_mRNA
YLR024C_mRNA	YGL203C_mRNA	YOR253W_mRNA	YNL221C_mRNA
YPL219W_mRNA	YDL191W_mRNA	YGL252C_mRNA	YDL140C_mRNA
YJL207C_mRNA	YNL156C_mRNA	YCR089W_mRNA	YER034W_mRNA
YIR026C_mRNA	YHR049W_mRNA	YCL031C_mRNA	YLR146C_mRNA
YGL203C_mRNA	YML035C_mRNA	YJR055W_mRNA	YOL110W_mRNA
YDL191W_mRNA	YJR068W_mRNA	YER054C_mRNA	YOR253W_mRNA
YNL156C_mRNA	YER004W_mRNA	YJL026W_mRNA	YGL252C_mRNA
YHR049W_mRNA	YOR359W_mRNA	YPL067C_mRNA	YCL031C_mRNA
YML035C_mRNA	YER103W_mRNA	YBL021C_mRNA	YJR055W_mRNA
YJR068W_mRNA	YDL031W_mRNA	YNL112W_mRNA	YER054C_mRNA
YER004W_mRNA	YGR100W_mRNA	YBL091C-A_mRNA	YJL026W_mRNA
YOR359W_mRNA	YDR302W_mRNA	YER130C_mRNA	YPL067C_mRNA
YER103W_mRNA	YOR103C_mRNA	YOR130C_mRNA	YBL021C_mRNA
YDL031W_mRNA	YKL219W_mRNA	YPR068C_mRNA	YNL112W_mRNA
YGR100W_mRNA	YBR274W_mRNA	YBR229C_mRNA	YBL091C-A_mRNA
YDR302W_mRNA	YNL317W_mRNA	YBR198C_mRNA	YER130C_mRNA
YOR103C_mRNA	YJR101W_mRNA	YKL028W_mRNA	YOR130C_mRNA
YKL219W_mRNA	YDR108W_mRNA	YGL133W_mRNA	YPR068C_mRNA
YBR274W_mRNA	YKL152C_mRNA	YPL219W_mRNA	YBR229C_mRNA
YNL317W_mRNA	YOR323C_mRNA	YJL207C_mRNA	YBR198C_mRNA
YJR101W_mRNA	YLR102C_mRNA	YIR026C_mRNA	YKL028W_mRNA
YDR108W_mRNA	YNL078W_mRNA	YGL203C_mRNA	YGL133W_mRNA
YKL152C_mRNA	YDL198C_mRNA	YDL191W_mRNA	YPL219W_mRNA
YOR323C_mRNA	YJL181W_mRNA	YNL156C_mRNA	YJL207C_mRNA
YLR102C_mRNA	YDL060W_mRNA	YHR049W_mRNA	YIR026C_mRNA
YNL078W_mRNA	YBR077C_mRNA	YHR173C_mRNA	YGL203C_mRNA
YDL198C_mRNA	YFL049W_mRNA	YML035C_mRNA	YDL191W_mRNA
YDL060W_mRNA	YDR194C_mRNA	YJR068W_mRNA	YNL156C_mRNA
YBR077C_mRNA	YFL005W_mRNA	YML051W_mRNA	YHR049W_mRNA
YFL049W_mRNA	YJL006C_mRNA	YER004W_mRNA	YML035C_mRNA
YDR194C_mRNA	YLL008W_mRNA	YOR359W_mRNA	YJR068W_mRNA
YPR116W_mRNA	YLR117C_mRNA	YER103W_mRNA	YML051W_mRNA
YFL005W_mRNA	YDR335W_mRNA	YDL031W_mRNA	YER004W_mRNA
YJL006C_mRNA	YCL052C_mRNA	YGR100W_mRNA	YOR359W_mRNA
YLL008W_mRNA	YDR322W_mRNA	YDR302W_mRNA	YER103W_mRNA
YLR117C_mRNA	YBR181C_mRNA	YOR103C_mRNA	YDL031W_mRNA
YDR335W_mRNA	YKL077W_mRNA	YKL219W_mRNA	YGR100W_mRNA
YCL052C_mRNA	YOL094C_mRNA	YBR274W_mRNA	YDR302W_mRNA
YDR322W_mRNA	YPR188C_mRNA	YHL044W_mRNA	YOR103C_mRNA
YBR181C_mRNA	YPL246C_mRNA	YNL317W_mRNA	YKL219W_mRNA
YKL077W_mRNA	YER076C_mRNA	YJR101W_mRNA	YBR274W_mRNA
YOL094C_mRNA	YMR193W_mRNA	YDR108W_mRNA	YHL044W_mRNA
YPR188C_mRNA	YER168C_mRNA	YKL152C_mRNA	YNL317W_mRNA
YPL246C_mRNA	YGL011C_mRNA	YOR323C_mRNA	YJR101W_mRNA
YER076C_mRNA	YPR152C_mRNA	YLR102C_mRNA	YDR108W_mRNA
YMR193W_mRNA	YLR413W_mRNA	YNL078W_mRNA	YKL152C_mRNA
YER168C_mRNA	YJR066W_mRNA	YDL198C_mRNA	YOR323C_mRNA
YGL011C_mRNA	YEL040W_mRNA	YDL060W_mRNA	YLR102C_mRNA
YPR152C_mRNA	YKL184W_mRNA	YHL032C_mRNA	YNL078W_mRNA
YLR413W_mRNA	YJR011C_mRNA	YBR077C_mRNA	YDL198C_mRNA
YJR066W_mRNA	YDR503C_mRNA	YFL049W_mRNA	YDL060W_mRNA
YEL040W_mRNA	YKR025W_mRNA	YDR194C_mRNA	YHL032C_mRNA
YKL184W_mRNA	YLR229C_mRNA	YFL005W_mRNA	YBR077C_mRNA
YJR011C_mRNA	YIL138C_mRNA	YJL006C_mRNA	YFL049W_mRNA
YDR503C_mRNA	YDR246W_mRNA	YLL008W_mRNA	YDR194C_mRNA
YKR025W_mRNA	YLR442C_mRNA	YLR117C_mRNA	YFL005W_mRNA
YLR229C_mRNA	YNL127W_mRNA	YDR335W_mRNA	YJL006C_mRNA
YIL138C_mRNA	YNL180C_mRNA	YCL052C_mRNA	YLL008W_mRNA
YDR246W_mRNA	YNL140C_mRNA	YDR322W_mRNA	YLR117C_mRNA
YLR442C_mRNA	YDR116C_mRNA	YBR181C_mRNA	YDR335W_mRNA
YNL127W_mRNA	YBR162C_mRNA	YKL077W_mRNA	YCL052C_mRNA
YNL180C_mRNA	YDR061W_mRNA	YOL094C_mRNA	YDR322W_mRNA
YNL140C_mRNA	YBR095C_mRNA	YPR188C_mRNA	YBR181C_mRNA
YDR116C_mRNA	YGL210W_mRNA	YPL246C_mRNA	YKL077W_mRNA
YBR162C_mRNA	YCR088W_mRNA	YER076C_mRNA	YOL094C_mRNA
YDR061W_mRNA	YKR014C_mRNA	YMR193W_mRNA	YPR188C_mRNA
YBR095C_mRNA	YBR130C_mRNA	YER168C_mRNA	YPL246C_mRNA
YGL210W_mRNA	YPR133C_mRNA	YGL011C_mRNA	YER076C_mRNA
YCR088W_mRNA	YER099C_mRNA	YPR152C_mRNA	YMR193W_mRNA
YKR014C_mRNA	YOR304W_mRNA	YLR413W_mRNA	YER168C_mRNA
YBR130C_mRNA	YOL103W_mRNA	YEL040W_mRNA	YGL011C_mRNA
YPR133C_mRNA	YDL212W_mRNA	YKL184W_mRNA	YPR152C_mRNA
YER099C_mRNA	YDL097C_mRNA	YJR011C_mRNA	YLR413W_mRNA
YOR304W_mRNA	YOR161C_mRNA	YDR503C_mRNA	YEL040W_mRNA
YOL103W_mRNA	YOL158C_mRNA	YKR025W_mRNA	YKL184W_mRNA
YDL212W_mRNA	YPR085C_mRNA	YLR229C_mRNA	YJR011C_mRNA
YDL097C_mRNA	YPL092W_mRNA	YIL138C_mRNA	YDR503C_mRNA
YOR161C_mRNA	YJR089W_mRNA	YDR246W_mRNA	YKR025W_mRNA
YOL158C_mRNA	YBR041W_mRNA	YLR442C_mRNA	YLR229C_mRNA
YPR085C_mRNA	YJL029C_mRNA	YNL127W_mRNA	YIL138C_mRNA
YPL092W_mRNA	YNL256W_mRNA	YNL180C_mRNA	YDR246W_mRNA
YBR041W_mRNA	YNL135C_mRNA	YNL140C_mRNA	YLR442C_mRNA
YJL029C_mRNA	YOR264W_mRNA	YDR116C_mRNA	YNL127W_mRNA
YNL256W_mRNA	YDR390C_mRNA	YBR162C_mRNA	YNL180C_mRNA
YER046W_mRNA	YIL149C_mRNA	YLR142W_mRNA	YNL140C_mRNA
YNL135C_mRNA	YKL061W_mRNA	YDR061W_mRNA	YDR116C_mRNA
YOR264W_mRNA	YPL158C_mRNA	YBR095C_mRNA	YBR162C_mRNA
YDR390C_mRNA	YIL010W_mRNA	YGL210W_mRNA	YLR142W_mRNA
YIL149C_mRNA	YOR016C_mRNA	YCR088W_mRNA	YDR061W_mRNA
YKL061W_mRNA	YJR080C_mRNA	YKR014C_mRNA	YBR095C_mRNA
YPL158C_mRNA	YLL050C_mRNA	YBR130C_mRNA	YGL210W_mRNA
YIL010W_mRNA	YBR026C_mRNA	YPR133C_mRNA	YCR088W_mRNA
YOR016C_mRNA	YDL015C_mRNA	YER099C_mRNA	YKR014C_mRNA
YJR080C_mRNA	YDR387C_mRNA	YJR110W_mRNA	YBR130C_mRNA
YLL050C_mRNA	YOR176W_mRNA	YOR304W_mRNA	YPR133C_mRNA
YBR026C_mRNA	YBR296C_mRNA	YDL212W_mRNA	YER099C_mRNA
YDL015C_mRNA	YMR305C_mRNA	YDL097C_mRNA	YJR110W_mRNA
YDR387C_mRNA	YER069W_mRNA	YOR161C_mRNA	YOR304W_mRNA
YOR176W_mRNA	YDR346C_mRNA	YOL158C_mRNA	YDL212W_mRNA
YBR296C_mRNA	YMR237W_mRNA	YPR085C_mRNA	YOL103W_mRNA
YMR305C_mRNA	YCR008W_mRNA	YPL092W_mRNA	YOR161C_mRNA
YER069W_mRNA	YGL202W_mRNA	YJR089W_mRNA	YDL097C_mRNA
YDR346C_mRNA	YHR151C_mRNA	YBR041W_mRNA	YOL158C_mRNA
YMR237W_mRNA	YER011W_mRNA	YJL029C_mRNA	YPR085C_mRNA
YCR008W_mRNA	YMR140W_mRNA	YNL256W_mRNA	YJR089W_mRNA
YGL202W_mRNA	YGR002C_mRNA	YNL135C_mRNA	YPL092W_mRNA
YHR151C_mRNA	YGR153W_mRNA	YOR264W_mRNA	YBR041W_mRNA
YER011W_mRNA	YJR053W_mRNA	YDR390C_mRNA	YJL029C_mRNA
YMR140W_mRNA	YBR013C_mRNA	YIL149C_mRNA	YNL256W_mRNA
YGR002C_mRNA	YHR138C_mRNA	YKL061W_mRNA	YER046W_mRNA
YJR053W_mRNA	YIL056W_mRNA	YPL158C_mRNA	YNL135C_mRNA
YBR013C_mRNA	YGL057C_mRNA	YAL028W_mRNA	YOR264W_mRNA
YHR138C_mRNA	YJR112W_mRNA	YIL010W_mRNA	YDR390C_mRNA
YIL056W_mRNA	YJL143W_mRNA	YOR016C_mRNA	YIL149C_mRNA
YGL057C_mRNA	YBR083W_mRNA	YJR080C_mRNA	YKL061W_mRNA
YJR112W_mRNA	YCL045C_mRNA	YLL050C_mRNA	YPL158C_mRNA
YJL143W_mRNA	YJL101C_mRNA	YBR026C_mRNA	YAL028W_mRNA
YBR083W_mRNA	YLR115W_mRNA	YDL015C_mRNA	YIL010W_mRNA
YCL045C_mRNA	YBR024W_mRNA	YDR387C_mRNA	YOR016C_mRNA
YJL101C_mRNA	YMR121C_mRNA	YOR176W_mRNA	YJR080C_mRNA
YLR115W_mRNA	YLR253W_mRNA	YBR296C_mRNA	YLL050C_mRNA
YBR024W_mRNA	YGR076C_mRNA	YMR305C_mRNA	YBR026C_mRNA
YMR121C_mRNA	YJL035C_mRNA	YER069W_mRNA	YDL015C_mRNA
YLR253W_mRNA	YPR089W_mRNA	YDR346C_mRNA	YDR387C_mRNA
YGR076C_mRNA	YML111W_mRNA	YMR237W_mRNA	YOR176W_mRNA
YJL035C_mRNA	YNL025C_mRNA	YCR008W_mRNA	YBR296C_mRNA
YPR089W_mRNA	YOL026C_mRNA	YGL202W_mRNA	YMR305C_mRNA
YML111W_mRNA	YPL004C_mRNA	YHR151C_mRNA	YER069W_mRNA
YNL025C_mRNA	YPL241C_mRNA	YMR140W_mRNA	YNL104C_mRNA
YOL026C_mRNA	YGR251W_mRNA	YGR002C_mRNA	YDR346C_mRNA
YPL004C_mRNA	YDR138W_mRNA	YJR053W_mRNA	YMR237W_mRNA
YPL241C_mRNA	YJL093C_mRNA	YBR013C_mRNA	YCR008W_mRNA
YGR251W_mRNA	YML061C_mRNA	YHR138C_mRNA	YGL202W_mRNA
YDR138W_mRNA	YGR062C_mRNA	YIL056W_mRNA	YHR151C_mRNA
YJL093C_mRNA	YFR030W_mRNA	YGL057C_mRNA	YMR140W_mRNA
YML061C_mRNA	YBR222C_mRNA	YJR112W_mRNA	YGR002C_mRNA
YGR062C_mRNA	YMR215W_mRNA	YPR083W_mRNA	YJR053W_mRNA
YFR030W_mRNA	YNL133C_mRNA	YBR083W_mRNA	YBR013C_mRNA
YBR222C_mRNA	YIL132C_mRNA	YJL143W_mRNA	YHR138C_mRNA
YMR215W_mRNA	YHR087W_mRNA	YCL045C_mRNA	YIL056W_mRNA
YNL133C_mRNA	YPL207W_mRNA	YJL101C_mRNA	YGL057C_mRNA
YIL132C_mRNA	YDR266C_mRNA	YLR115W_mRNA	YJR112W_mRNA
YHR087W_mRNA	YIL014C-A_mRNA	YBR024W_mRNA	YPR083W_mRNA
YPL207W_mRNA	YBR152W_mRNA	YMR121C_mRNA	YBR083W_mRNA
YDR266C_mRNA	YPL009C_mRNA	YLR253W_mRNA	YJL143W_mRNA
YIL014C-A_mRNA	YKL057C_mRNA	YGR076C_mRNA	YCL045C_mRNA
YBR152W_mRNA	YGL012W_mRNA	YJL035C_mRNA	YJL101C_mRNA
YPL009C_mRNA	YOR040W_mRNA	YPR089W_mRNA	YLR115W_mRNA
YKL057C_mRNA	YDR204W_mRNA	YML111W_mRNA	YBR024W_mRNA
YGL012W_mRNA	YLR049C_mRNA	YNL025C_mRNA	YMR121C_mRNA
YOR040W_mRNA	YDR381W_mRNA	YOL026C_mRNA	YLR253W_mRNA
YDR204W_mRNA	YOR259C_mRNA	YPL004C_mRNA	YGR076C_mRNA
YLR049C_mRNA	YHL040C_mRNA	YGR251W_mRNA	YJL035C_mRNA
YDR381W_mRNA	YMR033W_mRNA	YDR138W_mRNA	YPR089W_mRNA
YOR259C_mRNA	YPR189W_mRNA	YJL093C_mRNA	YML111W_mRNA
YHL040C_mRNA	YJL217W_mRNA	YML061C_mRNA	YNL025C_mRNA
YMR033W_mRNA	YHR084W_mRNA	YGR062C_mRNA	YOL026C_mRNA
YPR189W_mRNA	YER170W_mRNA	YBR222C_mRNA	YPL004C_mRNA
YJL217W_mRNA	YDR505C_mRNA	YMR215W_mRNA	YPL241C_mRNA
YHR084W_mRNA	YBR137W_mRNA	YNL133C_mRNA	YGR251W_mRNA
YER170W_mRNA	YDR519W_mRNA	YIL132C_mRNA	YDR138W_mRNA
YDR505C_mRNA	YKL003C_mRNA	YHR087W_mRNA	YJL093C_mRNA
YBR137W_mRNA	YIL035C_mRNA	YPL207W_mRNA	YML061C_mRNA
YDR519W_mRNA	YML019W_mRNA	YDR266C_mRNA	YGR062C_mRNA
YKL003C_mRNA	YGR237C_mRNA	YIL014C-A_mRNA	YFR030W_mRNA
YIL035C_mRNA	YGR065C_mRNA	YBR152W_mRNA	YBR222C_mRNA
YML019W_mRNA	YBR009C_mRNA	YPL009C_mRNA	YMR215W_mRNA
YGR237C_mRNA	YBR238C_mRNA	YKL057C_mRNA	YNL133C_mRNA
YGR065C_mRNA	YML078W_mRNA	YGL012W_mRNA	YHR087W_mRNA
YBR009C_mRNA	YNL320W_mRNA	YDR381W_mRNA	YPL207W_mRNA
YBR238C_mRNA	YEL034W_mRNA	YDR204W_mRNA	YDR266C_mRNA
YML078W_mRNA	YPR140W_mRNA	YLR049C_mRNA	YIL014C-A_mRNA
YNL320W_mRNA	YBR138C_mRNA	YOR259C_mRNA	YBR152W_mRNA
YEL034W_mRNA	YLR356W_mRNA	YPR189W_mRNA	YPL009C_mRNA
YPR140W_mRNA	YLR189C_mRNA	YMR033W_mRNA	YKL057C_mRNA
YBR138C_mRNA	YPL233W_mRNA	YHR084W_mRNA	YGL012W_mRNA
YLR356W_mRNA	YNL307C_mRNA	YJL217W_mRNA	YDR381W_mRNA
YLR189C_mRNA	YGL135W_mRNA	YKR053C_mRNA	YDR204W_mRNA
YPL233W_mRNA	YJL134W_mRNA	YDR505C_mRNA	YLR049C_mRNA
YNL307C_mRNA	YDR183W_mRNA	YBR137W_mRNA	YOR259C_mRNA
YGL135W_mRNA	YIL084C_mRNA	YDR519W_mRNA	YPR189W_mRNA
YJL134W_mRNA	YIL124W_mRNA	YKL003C_mRNA	YMR033W_mRNA
YDR183W_mRNA	YJR088C_mRNA	YIL035C_mRNA	YHR084W_mRNA
YIL084C_mRNA	YDR329C_mRNA	YML019W_mRNA	YJL217W_mRNA
YIL124W_mRNA	YDR098C_mRNA	YGR237C_mRNA	YER170W_mRNA
YJR088C_mRNA	YHR110W_mRNA	YGR065C_mRNA	YDR505C_mRNA
YDR329C_mRNA	YLR323C_mRNA	YBR009C_mRNA	YBR137W_mRNA
YDR098C_mRNA	YER074W_mRNA	YBR238C_mRNA	YDR519W_mRNA
YHR110W_mRNA	YCR027C_mRNA	YML078W_mRNA	YKL003C_mRNA
YLR323C_mRNA	YIL117C_mRNA	YNL320W_mRNA	YIL035C_mRNA
YER074W_mRNA	YDR397C_mRNA	YEL034W_mRNA	YML019W_mRNA
YCR027C_mRNA	YMR209C_mRNA	YGL182C_mRNA	YGR237C_mRNA
YIL117C_mRNA	YPR032W_mRNA	YPR140W_mRNA	YGR065C_mRNA
YDR397C_mRNA	YOL007C_mRNA	YBR138C_mRNA	YBR009C_mRNA
YMR209C_mRNA	YDR339C_mRNA	YLR356W_mRNA	YBR238C_mRNA
YPR032W_mRNA	YPR119W_mRNA	YLR189C_mRNA	YML078W_mRNA
YOL007C_mRNA	YNL188W_mRNA	YPL233W_mRNA	YNL320W_mRNA
YDR339C_mRNA	YPR041W_mRNA	YNL307C_mRNA	YGL182C_mRNA
YPR119W_mRNA	YCL025C_mRNA	YGL135W_mRNA	YPR140W_mRNA
YNL188W_mRNA	YMR074C_mRNA	YJL134W_mRNA	YBR138C_mRNA
YPR041W_mRNA	YNR047W_mRNA	YOR258W_mRNA	YLR356W_mRNA
YCL025C_mRNA	YCR086W_mRNA	YDR183W_mRNA	YLR189C_mRNA
YMR074C_mRNA	YDR451C_mRNA	YIL084C_mRNA	YPL233W_mRNA
YNR047W_mRNA	YDL010W_mRNA	YIL124W_mRNA	YNL307C_mRNA
YCR086W_mRNA	YPL260W_mRNA	YJR088C_mRNA	YGL135W_mRNA
YDR451C_mRNA	YDR313C_mRNA	YDR329C_mRNA	YJL134W_mRNA
YDL010W_mRNA	YJL191W_mRNA	YDR098C_mRNA	YOR258W_mRNA
YPL260W_mRNA	YDL088C_mRNA	YHR110W_mRNA	YDR183W_mRNA
YDR313C_mRNA	YLR068W_mRNA	YLR323C_mRNA	YIL084C_mRNA
YJL191W_mRNA	YPL152W_mRNA	YER074W_mRNA	YIL124W_mRNA
YDL088C_mRNA	YNL272C_mRNA	YCR027C_mRNA	YJR088C_mRNA
YLR068W_mRNA	YDL189W_mRNA	YIL117C_mRNA	YDR329C_mRNA
YPL152W_mRNA	YNL007C_mRNA	YDR397C_mRNA	YDR098C_mRNA
YNL272C_mRNA	YPL106C_mRNA	YMR209C_mRNA	YHR110W_mRNA
YDL189W_mRNA	YDL178W_mRNA	YPR032W_mRNA	YLR323C_mRNA
YNL007C_mRNA	YKR048C_mRNA	YOL007C_mRNA	YER074W_mRNA
YPL106C_mRNA	YDR364C_mRNA	YDR339C_mRNA	YCR027C_mRNA
YDL178W_mRNA	YML130C_mRNA	YPR041W_mRNA	YDL248W_mRNA
YKR048C_mRNA	YFR036W_mRNA	YCL025C_mRNA	YIL117C_mRNA
YDR364C_mRNA	YDL125C_mRNA	YMR074C_mRNA	YDR397C_mRNA
YML130C_mRNA	YKR071C_mRNA	YNR047W_mRNA	YMR209C_mRNA
YFR036W_mRNA	YLR044C_mRNA	YCR086W_mRNA	YPR032W_mRNA
YDL125C_mRNA	YHR114W_mRNA	YDR451C_mRNA	YOL007C_mRNA
YHR134W_mRNA	YGR187C_mRNA	YDL010W_mRNA	YDR339C_mRNA
YLR044C_mRNA	YMR154C_mRNA	YPL260W_mRNA	YPR119W_mRNA
YHR114W_mRNA	YDL157C_mRNA	YDR313C_mRNA	YPR041W_mRNA
YKR071C_mRNA	YDR217C_mRNA	YJL191W_mRNA	YCL025C_mRNA
YGR187C_mRNA	YJR058C_mRNA	YDL088C_mRNA	YMR074C_mRNA
YDL157C_mRNA	YMR083W_mRNA	YLR068W_mRNA	YNR047W_mRNA
